"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"225","3326","ROI_006","LOCRC",0,20,0
"226","3329","ROI_006","LOCRC",0,22,0
"227","3332","ROI_006","LOCRC",31,205,0.151219512195122
"228","3338","ROI_006","LOCRC",8,123,0.0650406504065041
"229","3351","ROI_006","LOCRC",11,106,0.10377358490566
"230","3353","ROI_006","LOCRC",0,29,0
"231","3355","ROI_006","LOCRC",1,24,0.0416666666666667
"232","3357","ROI_006","LOCRC",2,15,0.133333333333333
"233","336","ROI_025","LOCRC",12,106,0.113207547169811
"234","3372","ROI_006","LOCRC",0,16,0
"235","3377","ROI_006","LOCRC",1,14,0.0714285714285714
"236","3400","ROI_006","LOCRC",1,33,0.0303030303030303
"237","3404","ROI_006","LOCRC",16,111,0.144144144144144
"238","3417","ROI_006","LOCRC",1,12,0.0833333333333333
"239","3423","ROI_006","LOCRC",1,40,0.025
"240","3425","ROI_006","LOCRC",0,12,0
"241","3426","ROI_006","LOCRC",12,134,0.0895522388059701
"242","3428","ROI_006","LOCRC",1,14,0.0714285714285714
"243","3442","ROI_006","LOCRC",6,63,0.0952380952380952
"244","3448","ROI_006","LOCRC",0,11,0
"245","3471","ROI_006","LOCRC",1,16,0.0625
"246","3475","ROI_006","LOCRC",0,38,0
"247","3476","ROI_006","LOCRC",0,14,0
"248","3478","ROI_006","LOCRC",3,17,0.176470588235294
"249","3487","ROI_008","LOCRC",22,100,0.22
"250","3488","ROI_008","LOCRC",14,56,0.25
"251","3489","ROI_008","LOCRC",220,1422,0.154711673699015
"252","3504","ROI_008","LOCRC",17,55,0.309090909090909
"253","352","ROI_025","LOCRC",3,20,0.15
"254","3527","ROI_008","LOCRC",38,204,0.186274509803922
"255","3538","ROI_008","LOCRC",10,32,0.3125
"256","3545","ROI_008","LOCRC",4,23,0.173913043478261
"257","3546","ROI_008","LOCRC",5,72,0.0694444444444444
"258","3549","ROI_008","LOCRC",35,179,0.195530726256983
"259","3553","ROI_008","LOCRC",3,15,0.2
"260","3559","ROI_008","LOCRC",1,11,0.0909090909090909
"261","3565","ROI_008","LOCRC",5,23,0.217391304347826
"262","3567","ROI_008","LOCRC",20,129,0.155038759689922
"263","3568","ROI_008","LOCRC",7,27,0.259259259259259
"264","3569","ROI_008","LOCRC",10,46,0.217391304347826
"265","357","ROI_025","LOCRC",11,67,0.164179104477612
"266","3575","ROI_008","LOCRC",14,74,0.189189189189189
"267","3580","ROI_008","LOCRC",9,65,0.138461538461538
"268","3583","ROI_008","LOCRC",5,13,0.384615384615385
"269","3587","ROI_008","LOCRC",0,11,0
"270","359","ROI_025","LOCRC",2,13,0.153846153846154
"271","3593","ROI_008","LOCRC",13,48,0.270833333333333
"272","3595","ROI_008","LOCRC",10,42,0.238095238095238
"273","36","ROI_022","EOCRC",448,2046,0.218963831867058
"274","362","ROI_025","LOCRC",1,15,0.0666666666666667
"275","385","ROI_025","LOCRC",2,13,0.153846153846154
"276","39","ROI_022","EOCRC",1,14,0.0714285714285714
"277","393","ROI_025","LOCRC",1,21,0.0476190476190476
"278","395","ROI_025","LOCRC",1,32,0.03125
"279","40","ROI_022","EOCRC",12,34,0.352941176470588
"280","411","ROI_025","LOCRC",3,19,0.157894736842105
"281","426","ROI_025","LOCRC",214,775,0.276129032258065
"282","43","ROI_022","EOCRC",5,13,0.384615384615385
"283","432","ROI_025","LOCRC",2,29,0.0689655172413793
"284","455","ROI_025","LOCRC",3,50,0.06
"285","46","ROI_022","EOCRC",0,11,0
"286","472","ROI_025","LOCRC",2,19,0.105263157894737
"287","480","ROI_026","LOCRC",107,720,0.148611111111111
"288","481","ROI_026","LOCRC",1,17,0.0588235294117647
"289","528","ROI_026","LOCRC",21,111,0.189189189189189
"290","53","ROI_022","EOCRC",0,24,0
"291","552","ROI_026","LOCRC",0,11,0
"292","557","ROI_026","LOCRC",931,4259,0.218595914533928
"293","568","ROI_026","LOCRC",9,37,0.243243243243243
"294","587","ROI_026","LOCRC",9,38,0.236842105263158
"295","590","ROI_026","LOCRC",3,20,0.15
"296","60","ROI_022","EOCRC",23,71,0.323943661971831
"297","602","ROI_026","LOCRC",0,17,0
"298","647","ROI_026","LOCRC",4,10,0.4
"299","697","ROI_026","LOCRC",0,13,0
"300","752","ROI_027","LOCRC",1086,9031,0.12025246373602
"301","754","ROI_027","LOCRC",0,11,0
"302","81","ROI_022","EOCRC",0,10,0
"303","875","ROI_028","LOCRC",415,2241,0.185185185185185
"304","880","ROI_028","LOCRC",1,12,0.0833333333333333
"305","894","ROI_028","LOCRC",2,24,0.0833333333333333
"306","900","ROI_028","LOCRC",4,10,0.4
"307","905","ROI_028","LOCRC",4,40,0.1
"308","907","ROI_028","LOCRC",26,73,0.356164383561644
"309","909","ROI_028","LOCRC",5,24,0.208333333333333
"310","912","ROI_028","LOCRC",4,19,0.210526315789474
"311","926","ROI_028","LOCRC",3,17,0.176470588235294
"312","929","ROI_028","LOCRC",2,16,0.125
"313","93","ROI_022","EOCRC",10,47,0.212765957446809
"314","939","ROI_028","LOCRC",3,10,0.3
"315","945","ROI_028","LOCRC",28,65,0.430769230769231
"316","952","ROI_028","LOCRC",4,10,0.4
"317","977","ROI_028","LOCRC",2,16,0.125
"318","982","ROI_028","LOCRC",3,11,0.272727272727273
"319","983","ROI_028","LOCRC",4,21,0.19047619047619
