"","nonTumor_patches","sample_id","Indication","cell_count","patch_size","cell_freq"
"227","3332","ROI_006","LOCRC",3,205,0.0146341463414634
"228","3338","ROI_006","LOCRC",2,123,0.016260162601626
"229","3351","ROI_006","LOCRC",1,106,0.00943396226415094
"230","3353","ROI_006","LOCRC",0,29,0
"231","3355","ROI_006","LOCRC",1,24,0.0416666666666667
"232","3357","ROI_006","LOCRC",0,15,0
"233","336","ROI_025","LOCRC",3,106,0.0283018867924528
"234","3372","ROI_006","LOCRC",0,16,0
"235","3377","ROI_006","LOCRC",0,14,0
"236","3400","ROI_006","LOCRC",0,33,0
"237","3404","ROI_006","LOCRC",0,111,0
"238","3417","ROI_006","LOCRC",0,12,0
"239","3423","ROI_006","LOCRC",0,40,0
"240","3425","ROI_006","LOCRC",0,12,0
"241","3426","ROI_006","LOCRC",0,134,0
"242","3428","ROI_006","LOCRC",0,14,0
"243","3442","ROI_006","LOCRC",0,63,0
"244","3448","ROI_006","LOCRC",0,11,0
"245","3471","ROI_006","LOCRC",0,16,0
"246","3475","ROI_006","LOCRC",0,38,0
"247","3476","ROI_006","LOCRC",0,14,0
"248","3478","ROI_006","LOCRC",0,17,0
"249","3487","ROI_008","LOCRC",13,100,0.13
"250","3488","ROI_008","LOCRC",2,56,0.0357142857142857
"251","3489","ROI_008","LOCRC",114,1422,0.080168776371308
"252","3504","ROI_008","LOCRC",3,55,0.0545454545454545
"253","352","ROI_025","LOCRC",2,20,0.1
"254","3527","ROI_008","LOCRC",18,204,0.0882352941176471
"255","3538","ROI_008","LOCRC",4,32,0.125
"256","3545","ROI_008","LOCRC",1,23,0.0434782608695652
"257","3546","ROI_008","LOCRC",2,72,0.0277777777777778
"258","3549","ROI_008","LOCRC",15,179,0.0837988826815642
"259","3553","ROI_008","LOCRC",2,15,0.133333333333333
"260","3559","ROI_008","LOCRC",0,11,0
"261","3565","ROI_008","LOCRC",1,23,0.0434782608695652
"262","3567","ROI_008","LOCRC",7,129,0.0542635658914729
"263","3568","ROI_008","LOCRC",3,27,0.111111111111111
"264","3569","ROI_008","LOCRC",4,46,0.0869565217391304
"265","357","ROI_025","LOCRC",8,67,0.119402985074627
"266","3575","ROI_008","LOCRC",12,74,0.162162162162162
"267","3580","ROI_008","LOCRC",2,65,0.0307692307692308
"268","3583","ROI_008","LOCRC",4,13,0.307692307692308
"269","3587","ROI_008","LOCRC",0,11,0
"270","359","ROI_025","LOCRC",1,13,0.0769230769230769
"271","3593","ROI_008","LOCRC",3,48,0.0625
"272","3595","ROI_008","LOCRC",4,42,0.0952380952380952
"273","36","ROI_022","EOCRC",255,2046,0.124633431085044
"274","362","ROI_025","LOCRC",5,15,0.333333333333333
"275","385","ROI_025","LOCRC",0,13,0
"276","39","ROI_022","EOCRC",0,14,0
"277","393","ROI_025","LOCRC",1,21,0.0476190476190476
"278","395","ROI_025","LOCRC",3,32,0.09375
"279","40","ROI_022","EOCRC",6,34,0.176470588235294
"280","411","ROI_025","LOCRC",0,19,0
"281","426","ROI_025","LOCRC",121,775,0.156129032258065
"282","43","ROI_022","EOCRC",0,13,0
"283","432","ROI_025","LOCRC",2,29,0.0689655172413793
"284","455","ROI_025","LOCRC",0,50,0
"285","46","ROI_022","EOCRC",0,11,0
"286","472","ROI_025","LOCRC",0,19,0
"287","480","ROI_026","LOCRC",83,720,0.115277777777778
"288","481","ROI_026","LOCRC",0,17,0
"289","528","ROI_026","LOCRC",19,111,0.171171171171171
"290","53","ROI_022","EOCRC",0,24,0
"291","552","ROI_026","LOCRC",0,11,0
"292","557","ROI_026","LOCRC",467,4259,0.109650152617985
"293","568","ROI_026","LOCRC",4,37,0.108108108108108
"294","587","ROI_026","LOCRC",2,38,0.0526315789473684
"295","590","ROI_026","LOCRC",0,20,0
"296","60","ROI_022","EOCRC",8,71,0.112676056338028
"297","602","ROI_026","LOCRC",0,17,0
"298","647","ROI_026","LOCRC",0,10,0
"299","697","ROI_026","LOCRC",0,13,0
"300","752","ROI_027","LOCRC",253,9031,0.0280146163215591
"301","754","ROI_027","LOCRC",0,11,0
"302","81","ROI_022","EOCRC",0,10,0
"303","875","ROI_028","LOCRC",171,2241,0.0763052208835341
"304","880","ROI_028","LOCRC",3,12,0.25
"305","894","ROI_028","LOCRC",0,24,0
"306","900","ROI_028","LOCRC",0,10,0
"307","905","ROI_028","LOCRC",1,40,0.025
"308","907","ROI_028","LOCRC",6,73,0.0821917808219178
"309","909","ROI_028","LOCRC",0,24,0
"310","912","ROI_028","LOCRC",0,19,0
"311","926","ROI_028","LOCRC",0,17,0
"312","929","ROI_028","LOCRC",0,16,0
"313","93","ROI_022","EOCRC",3,47,0.0638297872340425
"314","939","ROI_028","LOCRC",1,10,0.1
"315","945","ROI_028","LOCRC",1,65,0.0153846153846154
"316","952","ROI_028","LOCRC",0,10,0
"317","977","ROI_028","LOCRC",0,16,0
"318","982","ROI_028","LOCRC",0,11,0
"319","983","ROI_028","LOCRC",0,21,0
